,bet_count,stake,regressed_stake,loss,loss_per_bet,declined_bet_count,accepted_bet_count,likelihood_of_declined,likelihood_of_accepted
7801,2,1.1903051761720467,1.1902030715111116,0.0001021046609350762,5.10523304675381e-05,0,2,0.0,1.0
2230,2,1.5579883362243983,1.234356956894143,0.3236313793302552,0.1618156896651276,0,2,0.0,1.0
248,2,0.49369189313259143,0.860626940668405,0.3669350475358135,0.18346752376790676,0,2,0.0,1.0
6766,2,1.2217846703132433,1.4814526676771704,0.2596679973639271,0.12983399868196355,1,1,0.5,0.5
9745,2,0.9313268965453522,1.149728315120446,0.21840141857509388,0.10920070928754694,1,1,0.5,0.5
8794,2,0.6469074314046793,0.9999999999999992,0.3530925685953199,0.17654628429765995,0,2,0.0,1.0
8791,2,0.5630404332107218,0.27112775755339635,0.2919126756573255,0.14595633782866274,0,2,0.0,1.0
3434,2,1.1033613611640756,0.9240080945173355,0.17935326664674012,0.08967663332337006,0,2,0.0,1.0
8777,2,0.914606401275768,0.676737198797665,0.23786920247810295,0.11893460123905147,0,2,0.0,1.0
7474,2,1.0020975907813714,0.8009393976187246,0.20115819316264683,0.10057909658132341,0,2,0.0,1.0
3850,2,0.27352702515021865,0.42000948189526033,0.14648245674504168,0.07324122837252084,0,2,0.0,1.0
3711,2,0.1938218117783329,0.19382181177836194,2.9032332093947844e-14,1.4516166046973922e-14,0,2,0.0,1.0
5656,2,1.227940302411561,1.0653189940218357,0.16262130838972522,0.08131065419486261,0,2,0.0,1.0
698,2,0.9216111908703364,0.6350075698388662,0.2866036210314702,0.1433018105157351,0,2,0.0,1.0
2645,2,1.022370357812559,0.7515446737164178,0.27082568409614116,0.13541284204807058,0,2,0.0,1.0
6786,2,0.7407440370561403,0.4291394826947088,0.31160455436143153,0.15580227718071576,0,2,0.0,1.0
4843,2,1.8686201078649307,0.9999999999999662,0.8686201078649645,0.43431005393248223,0,2,0.0,1.0
9718,2,1.0869034569138347,0.9999999999999998,0.08690345691383494,0.04345172845691747,0,2,0.0,1.0
8819,2,0.9543623125021953,1.10531443658708,0.15095212408488468,0.07547606204244234,0,2,0.0,1.0
639,2,0.30925587306776536,0.34010246834974456,0.030846595281979194,0.015423297640989597,0,2,0.0,1.0
4355,2,1.6083066488255335,1.63144527155018,0.023138622724646396,0.011569311362323198,0,2,0.0,1.0
1295,2,1.5090806466035769,1.0000000000000044,0.5090806466035724,0.2545403233017862,0,2,0.0,1.0
2879,2,1.6427481842090133,1.3616713733731731,0.28107681083584013,0.14053840541792006,0,2,0.0,1.0
287,2,0.45966579065198054,1.0,0.5403342093480195,0.27016710467400973,0,2,0.0,1.0
1032,2,1.607328152084352,1.7074529812841854,0.10012482919983334,0.05006241459991667,0,2,0.0,1.0
3984,2,1.0221560376467371,0.8250412468166338,0.1971147908301033,0.09855739541505165,0,2,0.0,1.0
8115,2,0.9201212436866365,0.8087920684675258,0.11132917521911068,0.05566458760955534,0,2,0.0,1.0
3603,2,1.4167200954566075,1.5651694933283786,0.14844939787177114,0.07422469893588557,0,2,0.0,1.0
2596,2,1.484086685257318,1.4678923066454885,0.016194378611829485,0.008097189305914743,0,2,0.0,1.0
9699,2,1.6124431271309616,0.9999999999999984,0.6124431271309632,0.3062215635654816,0,2,0.0,1.0
8122,2,0.7184517296557414,0.7311653737402463,0.012713644084504816,0.006356822042252408,0,2,0.0,1.0
2602,2,0.658688251226076,0.3219736942059162,0.3367145570201598,0.1683572785100799,0,2,0.0,1.0
8829,2,0.8448089784813473,1.1533757940531992,0.30856681557185195,0.15428340778592597,0,2,0.0,1.0
5566,2,0.24702672619974075,0.5631313368922933,0.3161046106925526,0.1580523053462763,0,2,0.0,1.0
1292,2,1.8011248503649235,1.8011248503649235,0.0,0.0,0,2,0.0,1.0
6809,2,0.23095348912083524,0.12648347937985038,0.10447000974098486,0.05223500487049243,1,1,0.5,0.5
6145,2,0.5211886933471712,0.22922191260105218,0.29196678074611904,0.14598339037305952,0,2,0.0,1.0
2167,2,1.430800298221838,1.430800298221838,0.0,0.0,0,2,0.0,1.0
1590,2,0.6951296489867096,1.0560906106408678,0.36096096165415825,0.18048048082707913,0,2,0.0,1.0
9929,2,0.4942771768336407,0.8088885279074424,0.31461135107380167,0.15730567553690084,0,2,0.0,1.0
3087,2,0.1055438590312453,0.10328928261094752,0.002254576420297777,0.0011272882101488885,1,1,0.5,0.5
4753,2,0.8786610012610752,0.9999999999999083,0.12133899873883314,0.06066949936941657,0,2,0.0,1.0
747,2,1.177161012897162,1.17707128223511,8.973066205197888e-05,4.486533102598944e-05,0,2,0.0,1.0
5737,2,1.514438890834315,1.5394745062097654,0.025035615375450515,0.012517807687725258,0,2,0.0,1.0
4744,2,1.5086941734109007,0.9999999999999996,0.5086941734109012,0.2543470867054506,0,2,0.0,1.0
2698,2,1.4348924823506493,0.9999999999999999,0.43489248235064937,0.21744624117532468,0,2,0.0,1.0
9944,2,1.0147775412715172,1.0147696126598456,7.928611671648156e-06,3.964305835824078e-06,0,2,0.0,1.0
950,2,0.8123774863802306,0.5295666183634874,0.28281086801674316,0.14140543400837158,0,2,0.0,1.0
9975,2,1.4738024245737045,1.473548214799446,0.00025420977425838487,0.00012710488712919243,0,2,0.0,1.0
7346,2,0.4169424321402999,0.9999999999999997,0.5830575678596998,0.2915287839298499,0,2,0.0,1.0
1578,2,1.2976556301066848,1.2981261341637775,0.00047050405709270215,0.00023525202854635108,0,2,0.0,1.0
4091,2,1.4126785535997035,1.7560059852861585,0.34332743168645496,0.17166371584322748,0,2,0.0,1.0
6814,2,1.4672114322184653,1.4396228978726824,0.0275885343457829,0.01379426717289145,0,2,0.0,1.0
9907,2,0.5679548843178569,0.5598986749487171,0.008056209369139755,0.004028104684569878,0,2,0.0,1.0
3162,2,1.3413837136635647,1.8564955694763048,0.5151118558127401,0.25755592790637005,0,2,0.0,1.0
3095,2,0.5378099543921059,1.0,0.4621900456078941,0.23109502280394706,0,2,0.0,1.0
705,2,1.0122660362246432,1.0,0.012266036224643173,0.0061330181123215866,0,2,0.0,1.0
3210,2,0.4826536182212745,0.6960459540546827,0.21339233583340822,0.10669616791670411,0,2,0.0,1.0
2656,2,1.1724249378009888,1.1724249378009888,0.0,0.0,0,2,0.0,1.0
9859,2,1.1066131305148725,0.9999999999999987,0.10661313051487387,0.05330656525743693,0,2,0.0,1.0
8182,2,1.109921136645156,1.109921136645156,0.0,0.0,0,2,0.0,1.0
6088,2,0.7652471095208375,0.7653730617663391,0.00012595224550160378,6.297612275080189e-05,0,2,0.0,1.0
8720,2,1.2024862089241246,1.4246200303131782,0.22213382138905358,0.11106691069452679,0,2,0.0,1.0
1616,2,1.3949339273940424,1.3637679860761915,0.031165941317850887,0.015582970658925444,0,2,0.0,1.0
8187,2,0.6099445996841145,0.323568466622434,0.2863761330616805,0.14318806653084026,0,2,0.0,1.0
6826,2,1.0629689861324614,0.9925183243384986,0.07045066179396275,0.03522533089698138,0,2,0.0,1.0
2666,2,0.947335653771537,0.9471703475855374,0.0001653061859995253,8.265309299976265e-05,0,2,0.0,1.0
3700,2,0.6443630630426448,1.0,0.3556369369573552,0.1778184684786776,0,2,0.0,1.0
1980,2,0.7873244619598464,1.0247408015933144,0.23741633963346798,0.11870816981673399,0,2,0.0,1.0
8185,2,0.21183296245884897,0.21183296245884897,0.0,0.0,0,2,0.0,1.0
3462,2,1.2739053894012915,1.2740405624614233,0.00013517306013177688,6.758653006588844e-05,0,2,0.0,1.0
3825,2,0.5890742238216202,0.8186627514995114,0.22958852767789117,0.11479426383894559,0,2,0.0,1.0
1685,2,0.9154231577762528,0.9999999999999998,0.08457684222374695,0.042288421111873475,0,2,0.0,1.0
2427,2,0.5831879584118086,0.8258344329717148,0.24264647455990618,0.12132323727995309,0,2,0.0,1.0
3132,2,0.1688345352529197,0.49610903013833174,0.32727449488541205,0.16363724744270602,0,2,0.0,1.0
4293,2,1.061781634453937,1.0831675900842566,0.02138595563031953,0.010692977815159765,1,1,0.5,0.5
9171,2,0.840190721570859,0.9999999999999982,0.15980927842913928,0.07990463921456964,0,2,0.0,1.0
7756,2,0.40568080564280773,0.32060119248988106,0.08507961315292667,0.042539806576463335,1,1,0.5,0.5
3768,2,1.0783772828949414,0.7311157120480549,0.34726157084688647,0.17363078542344323,0,2,0.0,1.0
5234,2,0.3153446647332243,0.01610718099966626,0.2992374837335581,0.14961874186677904,0,2,0.0,1.0
6524,2,0.2258109867158833,0.20129556227804518,0.024515424437838107,0.012257712218919053,1,1,0.5,0.5
7963,2,0.37711141277097227,0.4052186680881134,0.028107255317141144,0.014053627658570572,0,2,0.0,1.0
3548,2,0.9177379084685845,0.43405785018229015,0.48368005828629435,0.24184002914314717,0,2,0.0,1.0
1772,2,1.363505453669151,1.0536691495128376,0.30983630415631347,0.15491815207815673,0,2,0.0,1.0
2345,2,1.1927730183077467,1.0739000745433016,0.11887294376444513,0.059436471882222564,0,2,0.0,1.0
5411,2,1.1931492542276176,1.1931492542276052,1.2434497875801753e-14,6.217248937900877e-15,0,2,0.0,1.0
6328,2,1.5349000267559747,0.9999999999998928,0.534900026756082,0.267450013378041,0,2,0.0,1.0
533,2,1.9421059884236613,1.9420780475726793,2.7940850982011156e-05,1.3970425491005578e-05,0,2,0.0,1.0
7995,2,1.0772799662464276,1.0,0.07727996624642763,0.03863998312321382,0,2,0.0,1.0
2906,2,0.9949975747835108,0.5006724262220941,0.49432514856141674,0.24716257428070837,0,2,0.0,1.0
7938,2,1.4923090502585796,1.104474361620094,0.3878346886384856,0.1939173443192428,0,2,0.0,1.0
1830,2,0.43601280088539607,0.827948803793368,0.3919360029079719,0.19596800145398596,0,2,0.0,1.0
2392,2,0.683402549640307,0.960357495943508,0.27695494630320106,0.13847747315160053,0,2,0.0,1.0
7899,2,1.2944949143691622,0.7767493515919422,0.51774556277722,0.25887278138861,0,2,0.0,1.0
9270,2,0.6225594199502641,0.6225594199502641,0.0,0.0,0,2,0.0,1.0
6448,2,1.2451998881187318,1.2464111010328784,0.0012112129141466088,0.0006056064570733044,0,2,0.0,1.0
5292,2,1.4975821490835028,1.6220457734146951,0.12446362433119229,0.062231812165596145,0,2,0.0,1.0
9335,2,1.0642776896690371,1.0642776896690371,0.0,0.0,0,2,0.0,1.0
7920,2,0.17831334753359962,1.0,0.8216866524664004,0.4108433262332002,0,2,0.0,1.0
9299,2,1.198676019041726,1.1985694231627853,0.00010659587894079614,5.329793947039807e-05,0,2,0.0,1.0
3000,2,1.0757070672630968,1.057469600883687,0.018237466379409817,0.009118733189704908,0,2,0.0,1.0
9309,2,1.0377624345288075,1.0377624345288075,0.0,0.0,0,2,0.0,1.0
9315,2,0.25501823255267186,0.8005354952305617,0.5455172626778898,0.2727586313389449,0,2,0.0,1.0
5254,2,1.0616937760285463,1.0616937760285463,0.0,0.0,0,2,0.0,1.0
9212,2,0.7684795019212247,1.0000000000001137,0.23152049807888897,0.11576024903944448,0,2,0.0,1.0
7923,2,0.7100325922811792,1.0,0.2899674077188208,0.1449837038594104,0,2,0.0,1.0
5434,2,0.4949505005218727,0.14127613404713935,0.3536743664747334,0.1768371832373667,0,2,0.0,1.0
8005,2,1.1891330857661133,1.0999029329526118,0.08923015281350155,0.044615076406750775,0,2,0.0,1.0
5152,2,0.8063045349530976,0.9688402317222988,0.1625356967692012,0.0812678483846006,0,2,0.0,1.0
3725,2,1.3529430264876072,1.3529430264876166,9.325873406851315e-15,4.6629367034256575e-15,0,2,0.0,1.0
8069,2,0.877066462861593,0.7676783073458822,0.1093881555157108,0.0546940777578554,0,2,0.0,1.0
2281,2,1.4866937096156358,1.4866937096156358,0.0,0.0,0,2,0.0,1.0
1256,2,1.6775020471079165,1.6773336323943067,0.0001684147136098435,8.420735680492175e-05,0,2,0.0,1.0
5521,2,1.2348525552910117,1.4197111715980477,0.18485861630703604,0.09242930815351802,0,2,0.0,1.0
6659,2,1.4703724921205432,1.4701201226117333,0.00025236950880991316,0.00012618475440495658,0,2,0.0,1.0
8987,2,0.19184327190970796,0.41407347927658156,0.2222302073668736,0.1111151036834368,0,2,0.0,1.0
3282,2,0.14190002907936938,0.08167593247679501,0.06022409660257437,0.030112048301287185,0,2,0.0,1.0
6695,2,0.9550435804993279,1.1249943645247527,0.16995078402542474,0.08497539201271237,0,2,0.0,1.0
8077,2,0.9418238715825096,1.30779822894079,0.3659743573582803,0.18298717867914016,1,1,0.5,0.5
7614,2,1.6565180852212036,1.6283674243254844,0.02815066089571916,0.01407533044785958,0,2,0.0,1.0
1903,2,1.5145855416184535,1.308195574375857,0.2063899672425964,0.1031949836212982,0,2,0.0,1.0
1279,2,1.1860365640521358,0.9496152353949503,0.23642132865718546,0.11821066432859273,0,2,0.0,1.0
7610,2,1.6051100591086185,1.20534403217622,0.3997660269323984,0.1998830134661992,0,2,0.0,1.0
5032,2,1.1783044008637313,1.5387489496392086,0.36044454877547727,0.18022227438773863,0,2,0.0,1.0
9516,2,0.9838699062598343,1.1985673856897912,0.21469747942995687,0.10734873971497844,0,2,0.0,1.0
9010,2,0.7647605421433902,0.7625580317820172,0.002202510361372978,0.001101255180686489,0,2,0.0,1.0
5483,2,0.8270054731583348,1.468588341335094,0.6415828681767591,0.32079143408837957,0,2,0.0,1.0
6554,2,0.8992068275771999,1.2539390002331103,0.3547321726559104,0.1773660863279552,0,2,0.0,1.0
6563,2,1.5428903839451245,1.0000000000000062,0.5428903839451182,0.2714451919725591,0,2,0.0,1.0
9098,2,0.8163565951303586,0.6870311310074722,0.12932546412288648,0.06466273206144324,1,1,0.5,0.5
565,2,0.9852237246174574,1.3363788096578468,0.3511550850403894,0.1755775425201947,0,2,0.0,1.0
5455,2,1.859131040031083,1.0000000000000024,0.8591310400310805,0.42956552001554027,0,2,0.0,1.0
386,2,1.0688695421332413,1.5631175624566946,0.4942480203234534,0.2471240101617267,0,2,0.0,1.0
5133,2,0.8544838296244854,0.8544838296244854,0.0,0.0,0,2,0.0,1.0
9472,2,1.057931708929282,1.3551946980678222,0.2972629891385403,0.14863149456927016,0,2,0.0,1.0
9478,2,1.21581226625677,1.2218067266495152,0.0059944603927450935,0.0029972301963725467,0,2,0.0,1.0
8047,2,0.39682720495220736,0.5785884694110356,0.18176126445882823,0.09088063222941412,0,2,0.0,1.0
9486,2,1.091906204024777,0.9088517234131713,0.18305448061160556,0.09152724030580278,0,2,0.0,1.0
5471,2,1.7244663739340367,1.0,0.7244663739340367,0.36223318696701834,0,2,0.0,1.0
5477,2,1.0239425739834431,1.0239297280459771,1.2845937465977286e-05,6.422968732988643e-06,0,2,0.0,1.0
5108,2,1.1975201534119626,1.0502558217992983,0.14726433161266428,0.07363216580633214,0,2,0.0,1.0
5106,2,1.0157282740419504,1.0183232988290565,0.0025950247871060483,0.0012975123935530242,0,2,0.0,1.0
1392,2,0.660615335367711,0.9732755537621285,0.3126602183944175,0.15633010919720874,0,2,0.0,1.0
6899,2,1.195267532057849,1.0,0.19526753205784897,0.09763376602892448,0,2,0.0,1.0
